EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,performance level
3595,Fisher,Stafford,22-Sep-20,14-Sep-22,Production Technician I,Nicole Delgado,fisher.stafford@bilearner.com,WBL,Active,Contract,Zone A,Temporary,Resignation,Dark meeting play room head join truth involve.,Production       ,Engineers,02-03-1952,MA,Technician,Male,56703,Other,Divorced,Fully Meets,1,low
3596,Kellen,Medina,28-Jul-19,,Production Technician I,John Henry,kellen.medina@bilearner.com,NEL,Active,Part-Time,Zone C,Full-Time,Unk,,Production       ,Splicing,19-07-1982,MA,Technician,Male,33998,Other,Single,Needs Improvement,2,low
3597,Brenton,Monroe,06-Jun-20,14-Apr-21,Production Technician II,Autumn Decker,brenton.monroe@bilearner.com,PYZ,Future Start,Contract,Zone C,Part-Time,Retirement,Democrat themselves deal future early.,Production       ,General - Con,31-10-1986,MA,Foreman,Female,17650,Black,Single,Fully Meets,1,low
3598,Derick,Rocha,28-Sep-18,05-Aug-23,Production Technician II,Alex Moore,derick.rocha@bilearner.com,SVG,Voluntarily Terminated,Part-Time,Zone A,Full-Time,Resignation,Majority executive plan imagine.,Production       ,Project Management - Eng,06-10-1950,MA,Supervisor,Female,72750,Other,Married,Needs Improvement,1,low
3599,Elaine,Weeks,12-Apr-20,,Production Technician II,Dana Smith,elaine.weeks@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Unk,,Production       ,General - Con,31-03-1950,MA,Technician,Female,14044,White,Divorced,Fully Meets,2,low
3600,Marely,Dixon,01-Nov-22,,Production Technician II,Bobby Serrano,marely.dixon@bilearner.com,WBL,Active,Contract,Zone B,Temporary,Unk,,Production       ,Field Operations,07-10-1949,MA,Technician,Female,34810,White,Single,Fully Meets,2,low
3601,Keagan,Henson,21-Nov-22,,Production Technician II,Robert Riley,keagan.henson@bilearner.com,BPC,Active,Part-Time,Zone B,Full-Time,Unk,,Production       ,Wireline Construction,22-07-1966,MA,Billing,Female,75187,White,Married,Fully Meets,5,very high
3602,Helena,Davenport,11-Apr-21,24-May-23,Production Technician II,Crystal Mcneil,helena.davenport@bilearner.com,CCDR,Voluntarily Terminated,Full-Time,Zone B,Part-Time,Involuntary,Quality audience deal assume.,Production       ,Engineers,12-10-1994,MA,Engineer,Female,30766,Hispanic,Married,Fully Meets,5,very high
3603,Houston,Aguirre,29-Nov-18,21-Feb-19,Production Technician II,Christine Costa,houston.aguirre@bilearner.com,EW,Voluntarily Terminated,Full-Time,Zone A,Part-Time,Resignation,To trial deep.,Production       ,Field Operations,15-02-1977,MA,Technician,Female,58348,White,Married,Fully Meets,2,low
3604,Kane,Owen,16-Jan-19,31-Aug-22,Production Technician II,Mark Hale,kane.owen@bilearner.com,MSC,Active,Part-Time,Zone B,Full-Time,Resignation,Sometimes surface page stand area.,Production       ,Field Operations,09-03-1948,MA,Foreman,Female,44626,Hispanic,Divorced,Needs Improvement,4,high
3605,Emerson,Pitts,18-Sep-19,,Production Technician I,Destiny Johnson,emerson.pitts@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,Unk,,Production       ,Engineers,25-08-1943,MA,Technician,Male,2315,Other,Divorced,Fully Meets,4,high
3606,Clarissa,Winters,01-Aug-19,20-Jan-23,Production Technician I,Eric Gonzales,clarissa.winters@bilearner.com,SVG,Voluntarily Terminated,Part-Time,Zone C,Full-Time,Involuntary,Poor list reduce reality.,Production       ,Billable Consultants,13-03-1965,MA,Engineer,Male,95618,Other,Divorced,Fully Meets,3,medium
3607,Frankie,Atkins,18-Jun-19,14-Apr-21,Production Technician I,Christopher Murray,frankie.atkins@bilearner.com,EW,Active,Full-Time,Zone A,Full-Time,Resignation,Finally build do analysis beyond heavy.,Production       ,Project Management - Con,03-08-1976,MA,Coordinator,Male,15195,Other,Married,Fully Meets,5,very high
